language_name,yesterday,today,tomorrow,the day,the day before yesterday,the day after tomorrow,two days,two days before now,two days after now,four days,four days before now,four days from now,three days,three days before now,three days from now,value_yesterday,value_today,value_tomorrow,value_day_after_tomorrow,value_day_before_yesterday,time_window,time_window_all,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Top_Family,Subfamily,Genus,Country_ID,society_ID,society,Glottocode_society,society_language,Region,PC1,PC2,PC3,Gathering,Hunting,Fishing,AnimalHusbandry,Agriculture,subsistence_year,...55,Population size [EA202],Population_year,Mean size of local communities [EA031],Family
Albanian,dje,sot,nesër,ditën,pardje,pasnesër,dy ditë,dy ditë më parë,dy ditë pas tani,katër ditë,katër ditë më parë,katër ditë nga tani,tre ditë,tre ditë më parë,tre ditë nga tani,1,1,1,1,1,2,5,Eurasia,41,20,NA,sqi,Indo-European,NA,Albanian,RS AL,Ce1,Gheg,gheg1238,Gheg Albanian,Southeastern Europe,-1.249819275,0.666138049,0.152984961,0.025,0.025,0.025,0.405,0.605,1900,Mountain Gheg of No. Albania,NA,NA,200-399,Indo-European
Chuukese,naneu,ikenai,nesor,ewe ran .,ewe ran me mwen ikenai(今天) .,ewe ran mwirin lesor .,ruu ran,ruu ran me mwen iei .,ruu ran mwirin iei .,fomon ran .,fomon ran me mwen iei .,fomon ran seni iei .,ülüngät rän,ülüngät rän me mwen iei .,ülüngät rän seni iei .,1,1,1,0,0.5,0.5,3.5,Papunesia,7.333333333,151.75,chuu1238,chk,Austronesian,Eastern Malayo-Polynesian,Oceanic,FM,If2,Trukese,chuu1238,Chuukese,Northwestern Pacific,1.147037081,-1.691906726,-2.341588929,0.025,0.025,0.505,0.025,0.505,1940,NA,10000,1947,100-199,Austronesian
Yucatec Maya,jo'oljeak,be'elajake',sáamal,le k'iino',le k'iin táanil ti' jo'oljeake',u k'iinil sáamal,ka'ap'éel k'iin,ka'ap'éel k'iin táanil ti' bejla'e',ka'ap'éel k'iin ka' bejla'e',kanp'éel k'iin,kanp'éel k'iin táanil ti' bejla'e',kanp'éel k'iin tak bejla'e',óoxp'éel k'iin,óoxp'éel k'iin táanil ti' bejla'e',óoxp'éel k'iin tak bejla'e',1,1,1,0.5,0,0.5,3.5,North America,20,-89,yuca1254,yua,Mayan,NA,Mayan,MX,Sa6,Yucatec Maya,yuca1254,Yucatec Maya,Mexico,0.165096959,-1.553946254,-0.314857591,0.025,0.105,0.205,0.025,0.705,1520,NA,NA,NA,5000-50000,Mayan
Hawaiian,i nehinei,i kēia lā,ʻāpōpō,ka lā,i ka la i nehinei,ka la apopo,ʻelua lā,ʻelua lā ma mua o kēia manawa,ʻelua lā ma hope o kēia manawa,ʻehā lā,ʻehā lā ma mua o kēia manawa,ʻehā lā mai kēia manawa,ʻekolu lā,ʻekolu lā ma mua o kēia manawa,ekolu la mai keia la aku,1,1,1,0,0,0,3,Papunesia,19.58333333,-155.5,hawa1245,haw,Austronesian,Eastern Malayo-Polynesian,Oceanic,US,Ij6,Hawaiians,hawa1245,Hawaiian,North-Central Pacific,1.190256301,-1.485537229,-1.308545132,0.105,0.025,0.405,0.025,0.505,1800,NA,None,NA,NA,Austronesian
Chuvash,ӗнер,паян,ыран,кун,ӗнерхи кун,ыранхи кун,икӗ кун,халӗ икӗ кун маларах,икӗ кунтан,тӑватӑ кун,тӑватӑ кун маларах,тепӗр тӑватӑ кунтан,виҫӗ кун,халӗ виҫӗ кун маларах,тепӗр виҫӗ кунтан,1,1,1,0.5,0.5,1,4,Eurasia,55.5,47.5,chuv1255,chv,Altaic,None,Turkic,RU,ch14,Chuvash,chuv1255,Chuvash,Eastern Europe,-1.495517858,-1.480002005,0.666186833,0.025,0.025,0.025,0.105,0.93,1908,NA,845000,1897,200-399,Altaic
Igbo,ụnyahụ,taa,echi,ụbọchị,ụbọchị gara aga ụnyahụ,n'echi ya,ụbọchị abụọ,ụbọchị abụọ tupu ugbu a,ụbọchị abụọ ka e mesịrị,ụbọchị anọ,ụbọchị anọ tupu ugbu a,ụbọchị anọ site ugbu a,ụbọchị atọ,ụbọchị atọ tupu ugbu a,ụbọchị atọ site ugbu a,1,1,1,0.5,0,0.5,3.5,Africa,6,7.333333333,nucl1417,ibo,Niger-Congo,Benue-Congo,Igboid,NG,Af10,Igbo,nucl1417,Igbo,West Tropical Africa,-1.495517858,-1.480002005,0.666186833,0.025,0.025,0.025,0.105,0.93,1930,NA,4000000,1929,400-1000,Niger-Congo
Japanese,昨日,今日,明日,その日,一昨日,明後日,2日,今から2日前,今から2日後,4日,今から4日前,今から4日後,3日,今から3日前,今から3日後,1,1,1,0.5,0.5,1,4,Eurasia,37,140,nucl1643,jpn,Japanese,NA,Japanese,JP,Ed5,Japanese,nucl1643,Japanese,Eastern Asia,-1.495517858,-1.480002005,0.666186833,0.025,0.025,0.025,0.105,0.93,NA,NA,80000000,NA,50000,Uralic
Mam,ewi,jalin,nejchij,aju q´ij,aju q´ij t-xe t-xe q´ij,aju q´ij te nchi´j,kab´e q´ij,kab´e q´ij t-xe jalin,kab´e q´ij t-xe jalin,kyaje q´ij,kyaje q´ij t-xe jalin,kyaje q´ij tzul,oxe q´ij,oxe q´ij t-xe jalin,oxe q´ij tzul,1,1,1,0,0,0,3,North America,15,-91.83333333,mamm1241,mam,Mayan,None,Mayan,GT,Sa8,Mam,mamm1241,Mam,Central America,-1.495517858,-1.480002005,0.666186833,0.025,0.025,0.025,0.105,0.93,1930,NA,1000-5000,1930,1300,Mayan
Udmurt,толло доры,туннэ,ӵуказе,нунал,толон азьвыл нуналэ,ӵуказе нунал,кык нунал,кык нунал талэсь азьло,кык нунал ортчыса али,куать нунал,куать нунал талэсь азьло,куать нунал ортчыса,куинь нунал,куинь нунал талэсь азьло,куинь нунал ортчыса,1,1,1,0.5,0.5,1,4,Eurasia,57.5,52.5,udmu1245,udm,Uralic,Finno-Ugric,Permic,RU,ch26,Udmurt,sout2681,South Udmurt,Eastern Europe,-1.495517858,-1.480002005,0.666186833,0.025,0.025,0.025,0.105,0.93,1890,NA,504000,1926,200-399,Uralic
Fijian,na siga e liu,nikua,mataka,na siga .,na siga ni bera nanoa,na siga ni mataka,rua na siga,rua na siga ni bera oqo,rua na siga ni oti oqo,va na siga,va na siga ni bera oqo,Va na siga mai oqo,tolu na siga,tolu na siga ni bera oqo,tolu na siga mai oqo,0.5,1,1,0.5,0,0.5,3,Papunesia,-17.83333333,178,fiji1243,fij,Austronesian,Eastern Malayo-Polynesian,Oceanic,FJ,Ih14,Mbau Fijians,bauu1243,Bau (Fijian),Southwestern Pacific,1.740010053,-1.426274509,-1.95783248,0.105,0.025,0.505,0.025,0.405,1840,"Bau Chiefdom, Vanua Levu",NA,NA,1000-5000,Austronesian
